order_id,socket.io,websocket,delta
1195813746,1565158723,1565158723,-0.012323856
1195813747,1565158723,1565158723,-0.012323856
1195813748,1565158723,1565158723,-0.012323856
1195813749,1565158723,1565158723,-0.012323856
1195813750,1565158723,1565158723,-0.012323856
1195813751,1565158723,1565158723,-0.012323856
1195813752,1565158723,1565158723,-0.012323856
1195813753,1565158723,1565158723,-0.012323856
1195813754,1565158723,1565158723,-0.012323856
1195813755,1565158723,1565158723,-0.004603863
1195813756,1565158724,1565158724,-0.035090208
1195813757,1565158724,1565158724,-0.035090208
1195813758,1565158724,1565158724,-0.035090208
1195813759,1565158724,1565158724,-0.035090208
1195813760,1565158724,1565158724,-0.035090208
1195813761,1565158724,1565158724,-0.00287199
1195813762,1565158724,1565158724,-0.00287199
1195813763,1565158724,1565158724,-0.007325172
1195813764,1565158725,1565158725,-0.045099974
1195813765,1565158725,1565158725,-0.045099974
1195813766,1565158725,1565158725,-0.045099974
1195813767,1565158725,1565158725,-0.045099974
1195813768,1565158725,1565158725,-0.045099974
1195813769,1565158725,1565158725,-0.045099974
1195813770,1565158725,1565158725,-0.045099974
1195813771,1565158725,1565158725,-0.045099974
1195813772,1565158725,1565158725,-0.045099974
1195813773,1565158725,1565158725,-0.045099974
1195813774,1565158725,1565158725,-0.045099974
1195813775,1565158725,1565158725,-0.045099974
1195813776,1565158726,1565158726,-0.007733107
1195813777,1565158726,1565158726,-0.007733107
1195813778,1565158726,1565158726,-0.007232189
1195813779,1565158726,1565158726,-0.007232189
1195813780,1565158727,1565158727,-0.004885197
1195813781,1565158727,1565158727,-0.003960133
1195813782,1565158728,1565158728,-0.002322912
1195813783,1565158728,1565158728,-0.044616938
1195813784,1565158728,1565158728,-0.044616938
1195813785,1565158728,1565158728,-0.044616938
1195813786,1565158728,1565158728,-0.044616938
1195813787,1565158728,1565158728,-0.044616938
1195813788,1565158728,1565158728,-0.044616938
1195813789,1565158728,1565158728,-0.044616938
1195813790,1565158728,1565158728,-0.044616938
1195813791,1565158728,1565158728,-0.044616938
1195813792,1565158728,1565158728,-0.044616938
1195813793,1565158728,1565158728,-0.044616938
1195813794,1565158728,1565158728,-0.044616938
1195813795,1565158728,1565158728,-0.044616938
